naslov,leto,oskar,stevilo
The Motorcycle Diaries,2004,TRUE,1
The Sea Inside,2004,FALSE,1
The Sea Inside,2004,TRUE,1
Born into Brothels,2004,FALSE,0
Born into Brothels,2004,TRUE,1
Mighty Times: The Children's March,2004,FALSE,0
Mighty Times: The Children's March,2004,TRUE,1
Wasp,2004,FALSE,0
Wasp,2004,TRUE,1
Ryan,2004,FALSE,0
Ryan,2004,TRUE,1
The Lord of the Rings: The Return of the King,2003,FALSE,0
The Lord of the Rings: The Return of the King,2003,TRUE,11
Master and Commander: The Far Side of the World,2003,FALSE,8
Master and Commander: The Far Side of the World,2003,TRUE,2
Mystic River,2003,FALSE,4
Mystic River,2003,TRUE,2
Cold Mountain,2003,FALSE,6
Cold Mountain,2003,TRUE,1
Lost in Translation,2003,FALSE,3
Lost in Translation,2003,TRUE,1
Finding Nemo,2003,FALSE,3
Finding Nemo,2003,TRUE,1
The Barbarian Invasions,2003,FALSE,1
The Barbarian Invasions,2003,TRUE,1
Two Soldiers,2003,FALSE,0
Two Soldiers,2003,TRUE,1
Monster,2003,FALSE,0
Monster,2003,TRUE,1
Harvie Krumpet,2003,FALSE,0
Harvie Krumpet,2003,TRUE,1
Chernobyl Heart,2003,FALSE,0
Chernobyl Heart,2003,TRUE,1
The Fog of War,2003,FALSE,0
The Fog of War,2003,TRUE,1
Chicago,2002,FALSE,7
Chicago,2002,TRUE,6
The Pianist,2002,FALSE,4
The Pianist,2002,TRUE,3
The Lord of the Rings: The Two Towers,2002,FALSE,4
The Lord of the Rings: The Two Towers,2002,TRUE,2
Frida,2002,FALSE,4
Frida,2002,TRUE,2
The Hours,2002,FALSE,8
The Hours,2002,TRUE,1
Road to Perdition,2002,FALSE,5
Road to Perdition,2002,TRUE,1
Adaptation,2002,FALSE,3
Adaptation,2002,TRUE,1
Talk to Her (Hable con ella),2002,FALSE,1
Talk to Her (Hable con ella),2002,TRUE,1
This Charming Man (Der Er En Yndig Mand),2002,FALSE,0
This Charming Man (Der Er En Yndig Mand),2002,TRUE,1
Spirited Away,2002,FALSE,0
Spirited Away,2002,TRUE,1
Nowhere in Africa (Nirgendwo in Afrika),2002,FALSE,0
Nowhere in Africa (Nirgendwo in Afrika),2002,TRUE,1
The ChubbChubbs!,2002,FALSE,0
The ChubbChubbs!,2002,TRUE,1
Twin Towers,2002,FALSE,0
Twin Towers,2002,TRUE,1
Bowling for Columbine,2002,FALSE,0
Bowling for Columbine,2002,TRUE,1
8 Mile,2002,FALSE,0
8 Mile,2002,TRUE,1
A Beautiful Mind,2001,FALSE,4
A Beautiful Mind,2001,TRUE,4
The Lord of the Rings: The Fellowship of the Ring,2001,FALSE,9
The Lord of the Rings: The Fellowship of the Ring,2001,TRUE,4
Moulin Rouge!,2001,FALSE,6
Moulin Rouge!,2001,TRUE,2
Black Hawk Down,2001,FALSE,2
Black Hawk Down,2001,TRUE,2
Gosford Park,2001,FALSE,6
Gosford Park,2001,TRUE,1
"Monsters, Inc.",2001,FALSE,3
"Monsters, Inc.",2001,TRUE,1
Pearl Harbor,2001,FALSE,3
Pearl Harbor,2001,TRUE,1
Iris,2001,FALSE,2
Iris,2001,TRUE,1
Shrek,2001,FALSE,1
Shrek,2001,TRUE,1
Training Day,2001,FALSE,1
Training Day,2001,TRUE,1
Monster's Ball,2001,FALSE,1
Monster's Ball,2001,TRUE,1
Thoth,2001,FALSE,0
Thoth,2001,TRUE,1
For the Birds,2001,FALSE,0
For the Birds,2001,TRUE,1
No Man's Land,2001,FALSE,0
No Man's Land,2001,TRUE,1
Murder on a Sunday Morning (Un coupable idéal),2001,FALSE,0
Murder on a Sunday Morning (Un coupable idéal),2001,TRUE,1
The Accountant,2001,FALSE,0
The Accountant,2001,TRUE,1
Gladiator,2000,FALSE,7
Gladiator,2000,TRUE,5
"Crouching Tiger, Hidden Dragon",2000,FALSE,6
"Crouching Tiger, Hidden Dragon",2000,TRUE,4
Traffic,2000,FALSE,1
Traffic,2000,TRUE,4
Erin Brockovich,2000,FALSE,4
Erin Brockovich,2000,TRUE,1
Almost Famous,2000,FALSE,3
Almost Famous,2000,TRUE,1
Wonder Boys,2000,FALSE,2
Wonder Boys,2000,TRUE,1
How the Grinch Stole Christmas,2000,FALSE,2
How the Grinch Stole Christmas,2000,TRUE,1
U-571,2000,FALSE,1
U-571,2000,TRUE,1
Pollock,2000,FALSE,1
Pollock,2000,TRUE,1
Father and Daughter,2000,FALSE,0
Father and Daughter,2000,TRUE,1
Into the Arms of Strangers: Stories of the Kindertransport,2000,FALSE,0
Into the Arms of Strangers: Stories of the Kindertransport,2000,TRUE,1
Quiero ser (I want to be...),2000,FALSE,0
Quiero ser (I want to be...),2000,TRUE,1
Big Mama,2000,FALSE,0
Big Mama,2000,TRUE,1
American Beauty,1999,FALSE,3
American Beauty,1999,TRUE,5
The Matrix,1999,FALSE,0
The Matrix,1999,TRUE,4
