naslov,leto,oskar,stevilo
Feast,2014,True,1
Federico Fellini's 8½,1963,False,3
Federico Fellini's 8½,1963,True,2
Fellini's Casanova,1976,False,1
Fellini's Casanova,1976,True,1
Fences,2016,False,3
Fences,2016,True,1
Ferdinand the Bull,1938,False,0
Ferdinand the Bull,1938,True,1
Fiddler on the Roof,1971,False,5
Fiddler on the Roof,1971,True,3
Finding Nemo,2003,False,3
Finding Nemo,2003,True,1
Finding Neverland,2004,False,6
Finding Neverland,2004,True,1
First Man,2018,False,3
First Man,2018,True,1
First Steps,1947,False,0
First Steps,1947,True,1
Flamenco at 5:15,1983,False,0
Flamenco at 5:15,1983,True,1
Flashdance,1983,False,3
Flashdance,1983,True,1
Flowers and Trees,1931,False,0
Flowers and Trees,1931,True,1
Folies Bergere,1935,False,0
Folies Bergere,1935,True,1
For Scent-imental Reasons,1949,False,0
For Scent-imental Reasons,1949,True,1
For Whom the Bell Tolls,1943,False,8
For Whom the Bell Tolls,1943,True,1
For the Birds,2001,False,0
For the Birds,2001,True,1
Forbidden Games,1952,False,1
Forbidden Games,1952,True,0
Ford v Ferrari,2019,False,2
Ford v Ferrari,2019,True,2
Forrest Gump,1994,False,7
Forrest Gump,1994,True,6
Frank Film,1973,False,0
Frank Film,1973,True,1
Franz Kafka's It's a Wonderful Life,1994,False,0
Franz Kafka's It's a Wonderful Life,1994,True,1
Free Solo,2018,False,0
Free Solo,2018,True,1
Freeheld,2007,False,0
Freeheld,2007,True,1
Frenchman's Creek,1945,False,0
Frenchman's Creek,1945,True,1
Frida,2002,False,4
Frida,2002,True,2
From Here to Eternity,1953,False,5
From Here to Eternity,1953,True,8
From Mao to Mozart: Isaac Stern in China,1980,False,0
From Mao to Mozart: Isaac Stern in China,1980,True,1
Frozen,2013,False,0
Frozen,2013,True,2
Funny Girl,1968,False,7
Funny Girl,1968,True,1
Gandhi,1982,False,3
Gandhi,1982,True,8
Gaslight,1944,False,5
Gaslight,1944,True,2
Gate of Hell,1954,False,0
Gate of Hell,1954,True,1
Genocide,1981,False,0
Genocide,1981,True,1
Gentleman's Agreement,1947,False,5
Gentleman's Agreement,1947,True,3
Gerald McBoing-Boing,1950,False,0
Gerald McBoing-Boing,1950,True,1
Geri's Game,1997,False,0
Geri's Game,1997,True,1
Get Out,2017,False,3
Get Out,2017,True,1
Get Out Your Handkerchiefs,1978,False,0
Get Out Your Handkerchiefs,1978,True,1
